Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes
GO_Biological_Process_2021_fixed.gmt,B cell mediated immunity (GO:0019724),2/11,0.0018233052117919125,0.020186593416267603,45.14907210222087,284.75991015981776,FCER1G;CD74,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,B cell receptor signaling pathway (GO:0050853),2/34,0.017036345116058747,0.0872936691897225,13.176967541129391,53.66196522197375,SYK;MNDA,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",1/74,0.35488639509697906,0.4021508635590634,3.446413994169096,3.570338613309085,ZNF385A,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",1/56,0.282159009152707,0.3414921782347292,4.56972972972973,5.782008217744046,ZNF385A,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,DNA metabolic process (GO:0006259),1/277,0.8083536576820713,0.8136027074072796,0.9035494704210798,0.19223522874739823,SAMHD1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,ERK1 and ERK2 cascade (GO:0070371),2/23,0.008011227197180818,0.05228379855002218,19.93345879822557,96.21703794980094,CTSH;LGALS9,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Fc receptor mediated stimulatory signaling pathway (GO:0002431),3/74,0.009478410707012599,0.05789768116598829,8.461088618983355,39.418000347883456,FCER1G;RAC1;SYK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Fc receptor signaling pathway (GO:0038093),4/112,0.004307641103633563,0.034147979644278646,7.2354865977694764,39.41433523824903,FCER1G;FCER1A;SYK;RAC1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Fc-epsilon receptor signaling pathway (GO:0038095),4/111,0.004172280803739098,0.033378246429912786,7.3032888399614695,40.01685530868475,FCER1G;FCER1A;SYK;RAC1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Fc-gamma receptor signaling pathway (GO:0038094),3/72,0.008794069699964123,0.05548394426927995,8.705751188522866,41.21022010964204,FCER1G;RAC1;SYK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),2/71,0.06566119331106997,0.1520745156932656,6.146504761508712,16.738451838410384,RAC1;SYK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,MAPK cascade (GO:0000165),3/303,0.2646009085327614,0.3249362615092789,1.9820085432660965,2.635144959261866,IL1B;CTSH;LGALS9,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,N-acetylglucosamine metabolic process (GO:0006044),1/16,0.09025321665410073,0.1690543635212763,16.406820276497697,39.46063476205768,NAGK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,N-acetylneuraminate catabolic process (GO:0019262),1/6,0.03483764982618056,0.12266140012116471,46.26857142857143,155.3262124144681,NAGK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,N-acetylneuraminate metabolic process (GO:0006054),1/10,0.05739333693277774,0.1449444761642452,26.77984962406015,76.53217901759103,NAGK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,RNA catabolic process (GO:0006401),2/49,0.033743981656821444,0.12266140012116471,9.006693033160937,30.523261165737562,RNH1;RNASE6,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,RNA metabolic process (GO:0016070),1/133,0.5458729855429699,0.571691302426759,1.9041509433962265,1.1527138715451068,RNASE6,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,RNA phosphodiester bond hydrolysis (GO:0090501),1/28,0.1526127557838886,0.2258231708496681,9.24,17.36982854333114,RNASE6,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Rac protein signal transduction (GO:0016601),2/19,0.0054979689030295225,0.03918092781469315,24.49628406275805,127.4633899393196,AIF1;RAC1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,Ras protein signal transduction (GO:0007265),2/142,0.20393874097387293,0.27279831586580633,3.0258367103449695,4.810885564802836,AIF1;RAC1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell activation (GO:0042110),2/92,0.10231807326175477,0.18150845614388542,4.7135375083831,10.745305113849652,CD1C;CD74,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell activation involved in immune response (GO:0002286),3/28,0.0005818695863191964,0.00925023444917697,23.798073615411077,177.27813814140995,FCER1G;CD1C;CD74,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell differentiation (GO:0030217),2/41,0.0242501755263242,0.11304593102496995,10.836686910075365,40.30523015047147,FCER1G;SPI1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell mediated cytotoxicity (GO:0001913),1/8,0.04618140745129543,0.13317429125489844,33.925714285714285,104.32761013829499,CTSH,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell mediated immunity (GO:0002456),1/16,0.09025321665410073,0.1690543635212763,16.406820276497697,39.46063476205768,CTSH,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T cell receptor signaling pathway (GO:0050852),9/158,3.694357200960018e-07,2.082274058722919e-05,11.75025767232494,174.03646310522032,HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DRB5,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,T-helper 1 type immune response (GO:0042088),1/9,0.051803755642352164,0.13904038310934347,29.932436974789915,88.6087725623409,HLA-DRB1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,TOR signaling (GO:0031929),1/26,0.14252114696261678,0.21737542710165414,9.966050420168067,19.41650613102388,CCDC88A,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,TRAIL-activated apoptotic signaling pathway (GO:0036462),1/7,0.04052610249614882,0.12720366110583672,39.14769230769231,125.5000245796484,SPI1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,UDP-N-acetylglucosamine biosynthetic process (GO:0006048),1/11,0.06295034010487634,0.14953720637939974,24.227755102040817,66.99965481281787,NAGK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,UDP-N-acetylglucosamine metabolic process (GO:0006047),1/13,0.0739673618540095,0.15786493751974487,20.34857142857143,52.990352563030946,NAGK,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,UV protection (GO:0009650),1/10,0.05739333693277774,0.1449444761642452,26.77984962406015,76.53217901759103,GPX1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",2/85,0.0895487161042728,0.1690543635212763,5.111107265238309,12.33296121307288,AP2S1;RAC1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,actin crosslink formation (GO:0051764),1/12,0.06847495286588197,0.1520745156932656,22.119503105590063,59.30874170143665,AIF1,5,GO_BP,100
GO_Biological_Process_2021_fixed.gmt,actin cytoskeleton reorganization (GO:0031532),2/63,0.053169457616372894,0.14178522031032773,6.949809671507119,20.39262603413029,PHACTR1;GSN,5,GO_BP,100
