Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes
GO_Cellular_Component_2021_fixed.gmt,AP-2 adaptor complex (GO:0030122),1/7,0.04303348743868474,0.09534870746218384,36.85691231845078,115.9436155901214,AP2S1,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,COPII-coated ER to Golgi transport vesicle (GO:0030134),11/79,1.6936468329200338e-12,1.9138209211996382e-11,31.00379799418432,840.331189055101,HLA-DRB1;YIF1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DRB5;CD74,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,ER to Golgi transport vesicle membrane (GO:0012507),10/54,9.329093364368418e-13,1.4245764545941907e-11,42.9683595505618,1190.2436847709794,HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DRB5;CD74,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,Golgi membrane (GO:0000139),13/472,6.161782923921102e-06,2.9011727933461854e-05,5.41501083567268,64.96466685054592,ARF3;HLA-DRB1;HLA-DPB1;HLA-DRA;PLD4;AP1S2;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DRB5;CD74,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,Lewy body (GO:0097413),1/5,0.03092808852378866,0.07597552180843736,53.247086247086244,185.09169035087734,GPX1,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,MHC class II protein complex (GO:0042613),10/13,1.3643056160905928e-20,1.54166534618237e-18,548.28,25078.90632998282,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DMA;HLA-DRB5,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,MHC protein complex (GO:0042611),10/20,8.515050546209417e-18,4.81100355860832e-16,182.648,7178.924192388369,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQB1;HLA-DPA1;HLA-DQB2;HLA-DQA1;HLA-DMA;HLA-DRB5,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,T cell receptor complex (GO:0042101),1/12,0.07264844087256801,0.1415392037689687,20.823046518698693,54.60059649482492,SYK,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,actin cytoskeleton (GO:0015629),7/316,0.0035397261504604683,0.010810515000054944,4.112703325975163,23.210888081095252,COTL1;LSP1;CAPG;TPM4;AIF1;RAC1;GSN,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,actin filament (GO:0005884),4/72,0.0010550096424777177,0.0035063555764700614,10.892162608556662,74.65711946760581,AIF1;RAC1;COTL1;TPM4,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,actin-based cell projection (GO:0098858),1/83,0.4074360658024633,0.49428361958574984,2.8845518118245392,2.589956147741599,CD302,5,GO_CC,100
GO_Cellular_Component_2021_fixed.gmt,adherens junction (GO:0005912),1/132,0.5657025132071276,0.6457008484081356,1.8018825281182695,1.0265089328589925,ANXA2,5,GO_CC,100
